------------->第1类：学院		<-------------
华中科技大学	与名校比邻而居 鲁巷片学区房均价6700元/平起	周边学校:华工幼儿园、华中科技大学、中国地质大学、中南财经政法大学、中南民族大学等);华师一附中、华工附中、关山中学、华工附小、光谷第一小学  项目地址:东湖开发区光谷广场东光谷步行街上 [ 楼盘介绍 ]  亿房网为您提供的售楼部电话:87808888  新都汇 最新均价:8500 元/平方米  ...
华中科技大学	OPhone俱乐部携手MM 大力支持大学生自主创业	在华中科技大学OPhone技术俱乐部常年人数在200人以上。此外,为帮助大学生提升技能,激发创作热情,OPhone技术俱乐部为成员提供创意设计、产品规划、产品实现、发布推广等一个或多个环节的孵化辅导。  据介绍,OPhone平台为学生提供了一个便利的学习、创新的平台,创业者可以直接在代码层面进行实践,...
华中科技大学	《鄂商》:光谷“成绩单”	由于光谷靠近华中科技大学等名牌大学,所以在人才方面是近水楼台先得月,同时,国家为了进一步加强光谷的人才力量,鼓励企业自主创新,政府采取了一系列奖励措施,如引进一个博士,政府每月补贴1000元;专利申报,政府补贴;达到国际标准,政府奖励100万元;达到国家标准,政府奖励50万元等等。  “尊重知识,...
华中科技大学	创业实践计划迎来“华科大模式”	华中科技大学团委副书记陈钢说,作为部属高校,华中科技大学积极推动大学生参与这项公益活动,将进一步培养大学生的创业能力,提升创业经验值。  陈钢说,目前,大学生创业的短板是创业意识缺失与创业能力缺乏,这个项目提供了一个实践的平台,给同学们一次零成本体验创业的机会。...
华中科技大学	华中科技大学2011年接收推免生攻读硕士说明	华中科技大学同济医学院各院系所的联系方式:武汉市航空路  13号XXX院系所,邮编:430030),研招办联系电话:027-87541746。  ①《华中科技大学2011年接收推荐免试攻读硕士学位和直接攻读博士学位研究生申请表》一份,并由本科所在学校或院系教务部门加盖公章。  ②本科正式成绩单一份,...
华中科技大学	当信仰成为富人“另类时尚”	对于民间信仰甚至“巫术”是否能替代真正的宗教,华中科技大学哲学系教授邓晓芒称,本身没有积极精神追求的一些信仰成为社会的主流,反映了主流人群的问题,也是“整个社会精神层次下移”。  他解释,这一现象一方面是改革开放以来世俗化影响力越来越强所致。另一方面,...
华中科技大学	玉柴与华中科技大学签署战略合作协议	为了提升玉柴的铸造和内燃机性能开发水平,建立企业与高校的人才培养基地,2010年6月25日,玉柴与华中科技大学签署战略合作协议,玉柴股份公司总经理李天生、华中科技大学副校长杨勇分别在战略合作框架协议书上签字。玉柴股份公司董事长晏平、华中科技大学校长李培根等领导见证了战略合作协议的签署。...
华中科技大学	华中科大拟办暑期少年新闻学院	...并通过一天的新闻采写实训课提高学生的新闻实践能力。  “少年新闻学院”得到了武汉晚报的鼎力支持。该报将对“少年新闻学院”学员采写的新闻稿件择优刊登。  据介绍,华中科技大学“少年新闻学院”报名截止时间为7月8日,开课时间为7月15日。详情刊登在华中科技大学新闻学院网站。
华中科技大学	第六届全国制冷空调学科发展与教学研讨会召开	暖通空调在线报道: 7月31日,几百位来自全国各地的制冷空调的名师相聚武汉的华中科技大学,参加第六届全国制冷空调学科发展与教学制冷空调新技术研讨会。研讨会有中国制冷学会、上海交通大学主办,华中科技大学与湖北省制冷学会共同承办。本次研讨会为期3天,...
华中科技大学	教育部任命华中科技大学八位新副校长	·给华中科技大学校长留言  北京7月27日电(记者 李婧)今天,记者从 网站获悉,近日 华中科技大学八位新任副 接受 任命。其中两位是常务副校长。  教育部发出通知表示,经研究决定,任命林萍华、丁汉初为华中科技大学常务副校长(正厅级),...
华中科技大学	中共教育部党组关于张晋等同志职务任免的通知	...决定张晋同志任中共华中科技大学委员会委员、常委、副书记,马小洁同志任中共华中科技大学委员会常委、副书记,罗俊同志任中共华中科技大学委员会常委;免去向继洲同志的中共华中科技大学委员会常委,刘建凡同志的中共华中科技大学委员会副书记、常委、委员职务。  ...
华中科技大学	华中科技大学暑期实践队向都昌县太阳村捐款1000元	中国江西新闻网7月28日都昌讯( 袁奇 邱辉强 报道)28日,江西都昌县太阳村迎来了华中科技大学材料科学与工程学院参加暑期社会实践的10名师生,实践队员将平时积攒下来的学院补助1000元爱心款,捐赠给了太阳村。  当日,实践队员们与太阳村的孩子们在食堂里共进午餐,...
华中科技大学	玉柴与华中科技大学牵手 提升内燃机开发水平	华中科技大学是国家教育部直属的全国重点大学,是首批列入国家“211工程”重点建设和国家“985工程”建设高校之一,在铸造技术、内燃机性能开发、制造技术以及人才培养方面处于国内领先水平。...
华中科技大学	&quot;根叔&quot;走红 华中科技大学分数线大涨	华中科技大学获悉,今年华科大的 分数线大涨。去年,华中科技大学高出一本线50分以上的省份有15个,而今年理科录取线高出当地一本线50分以上的省份累计有23个。华科大表示,今年“普通本科招生形势喜人,考生报考华中科技大学积极踊跃,各 生源爆满,生源质量继续提高。”  据了解,...
华中科技大学	谁能给留守儿童加把“安全锁”?	华中科技大学社会学系雷洪教授认为,可因地制宜地想办法,“比如村委会可组织一些活动来管理这些留守儿童,可以请回乡大学生以义工方式帮助辅导,陪他们过个有意义的暑假。”  华中科技大学社会学博士孙端锋认为,社会在维护留守儿童安全方面基本是空白,...
华中科技大学	三本院校一志愿投档情况公布	华中科技大学文华学院投档最低分为450分。华中科技大学武昌分校投档最低分为475分。四川大学锦城学院投档最低分为450分。武汉大学东湖分校投档最低分为458分。  各院校一志愿详细投档情况,考生及家长可登录省招考中心网站(http://www.gzszk.com)查询。  另外,昨日,...
华中科技大学	华中科大实验室落户龙岗工业区	据深圳华中科技大学研究院院长陈吉红介绍,成立特种材料应用开发实验室的目的,就是要在华中科技大学材料成型与模具技术国家重点实验室的技术支撑下,集约深圳华中科技大学研究院和各参与共建的行业领先企业的技术力量,共同打造一个代表国内领先水平的特种材料应用技术研究的产学研平台,...
华中科技大学	第六届全国制冷空调新技术研讨会在武汉召开	暖通空调在线报道: 8月1日,第六届全国制冷空调新技术研讨会在华中科技大学隆重召开,来自全国高校制冷空调学科的学术带头人、学生、制冷学会、知名的设计院、制冷空调企业、行业媒体等几百名代表齐聚武汉的华中科技大学,共商制冷空调新技术发展的大计。...
华中科技大学	湖北省武汉市洪山区关山文园路58号	教育部直属高校  武汉·中国光谷中心矗立起的独立学院 华中科技大学文华学院简介 学院国标代码:13262 湖北 招生代码:1237 关键词:普通高校 华中科技大学文华学院是国家教育部批准设立的本科层次的全日制普通高等学校,由华中科技大学与武汉美联地产有限公司共同... &gt;&gt;更多
华中科技大学	2010湖北高职一投档线发布 8月11日征集志愿	武汉大学医学院职业技术学院 412 439 武汉大学东湖分校 395 410 华中科技大学高等技术学院 401 407 华中科技大学文华学院 395 407 华中科技大学武昌分校 408 410 华中师范大学 360 380 梧州学院 360 380 南昌大学 389 380 中国...
华中科技大学	利群阳光第三批资助学子名单出炉	华中科技大学  姜潇 女 430723199201170027 525(理) 合肥学院  齐凤 女 43072419920218542X 570(文) 湖南科技大学  李晓娇 女 430923199209076327 600(职高类) 湖南师范大学  彭俊辉 男 43252419890720325X 611(文) 华中科技大学  周向荣 女 430702199112023023 521(理) 湖南文理学院  ...
华中科技大学	哥哥让出上学机会打工养家 弟弟争气考上大学	今年陈灯亮终于以629分的优异成绩,顺利考入华中科技大学。  接到录取书愁学费  昨天下午,当记者到达陈灯亮位于开县赵家镇茶竹村的家,他正背了满满一背苞谷走到门口。用水泥砖砌成的三间平房就是陈灯亮的家,一个破旧的木柜、两张桌子、几张板凳,几乎是这个家所有的家当,...
华中科技大学	西藏山南13名孩子考入武汉上大学 期待社会援助	得知加措今年以优异的成绩考取华中科技大学后,共青团山南地委副书记林伟等一行人驱车50多公里,从地区赶往他在山沟里的家。  在离他家步行还有半个多小时的一片麦地里,加措正与父母及七十多岁的姑姑在地里抢收青稞,加措被晒得黝黑的脸上露出憨厚的笑容:“放暑假了,...
华中科技大学	华中科技大学合肥函授站2010年成考招生专业	华中科技大学合肥函授站 58501 华中科技大学 高职高专 函授 2.5 30 按物价局规定标准 全省。华中科技大学合肥函授站 58502 华中科技大学 高职高专 函授 2.5 30 按物价局规定标准 全省。华中科技大学合肥函授站 58504 华中科技大学 高职高专 函授 2.5 80 按物价局规定标准 全省。...
华中科技大学	太阳鸟坚持完善以研发中心为主体的技术创新体系	华中科技大学:通过应用玄武岩纤维等绿色环保材料,多种能源综合开发、油料循环引用、推进系统及优化配置、环保成型工艺等进行研究,对节能对环保的作用以及新型船艇综合性能进行研究,开发节能环保型、高性能、智能化的新型复合材料船艇。  ...
华中科技大学	海南三本录取结束 海大三亚学院生源好过往年	学院—金审学院、华东交通大学—理工学院、厦门大学—嘉庚学院和江西师范大学—科学技术学院等10所院校,所录取的考生成绩均不低于我省本科二批录取最低控制分数线;在理工类招生的华中科技大学—武昌分校、华北电力大学—科技学院和华中科技大学—文华学院等13所院校的最低录取分数都达到560分以上,...
华中科技大学	武汉中元华电科技股份有限公司2010年半年度报告摘要	中国湖北武汉东湖新技术开发区华中科技大学科技园六路6号 电话 027-87180718 027-87180718 传真 027-87180719 027-87180719 电子信箱 stock@zyhd.com.cn stock@zyhd.com.cn  2.3 主要财务数据和指标  2.3.1 主要会计数据  单位:元  项目 报告期 上年同期 本报告期比上年同期增减 ...
华中科技大学	华中科大经验	本报讯(记者朱建华 实习生周恋芹 张伟峰)昨日获悉,中央创先争优活动领导小组办公室日前印发简报,专门推荐华中科技大学在学生党建方面的工作经验。中共中央政治局委员、中央书记处书记、中组部部长李源潮做出批示:“华中科大的系列党建活动很好。”  据悉,华中科大围绕加强学生党建工作,创新党建工作的内容和形式,...
华中科技大学	“慈善之星”喻友旺定向资助竹溪80名学生	华中科技大学  师丽 竹溪 湖北工业大学  唐宁 竹溪 湖北经济学院  王娇 竹溪 湖北大学  刘锐 竹溪 西安电子科技大学  张仕钊 竹溪 兰州理工大学  陈涛 竹溪 武汉纺织大学  张明 竹溪 湖北警官学院  隆俊 竹溪 湖北工业大学  汪奎 竹溪 湖北大学  邹骏 竹溪 ...
华中科技大学	华中科技大学本科生就业信息网	华中科技大学大学生就业信息网 首页 最新动态 通知公告 招聘信息 招聘信息...?版权所有:华中科技大学就业指导中心 Tel:027-87542328 Fax:027-87543914 Mail:job@mail.hust.edu.cn...
华中科技大学	欢迎来到华中科技大学人事处	华中科技大学 华中科技大学人才招聘网...华中科技大学中欧清洁与可再生能源学院(筹)招聘 电子科学与技术系招聘启事 国际教育学院招聘启事...校人【2007】38号关于印发《华中科技大学返聘人员管理办法》的通知...
华中科技大学	华中科技大学考研网 - 华中科技大学研究生招生信息网 - 华中科技...	"华中科技大学是国家教育部直属的全国重点大学,是目前国内规模最大、水平一流的多学科综合性大学之一,是国家""211工程""...华中科技大学材料学院2010年硕士复试分数线基本要求 2010-03-29..."
华中科技大学	华中科技大学_新浪院校库_新浪教育_新浪网	"华中科技大学是国家教育部直属的全国重点大学,由原华中理工大学、同济医科大学、武汉城市建设学院于2000年5月26日合并成立,是首批列入国家""211工程""重点建设和""985工程""建设的大学。..."

------------->第7类：公司		<-------------
华中科技大学	华中科技大学精品课程	2010年华中科技大学学校政策 2010年精品课程申报汇总表 2010年精品课程申报表 2010年精品课程评审及意见反 ... 版权所有：华中科技大学 技术支持：武汉高德信息产业有限公司
华中科技大学	玉柴与华中科大“联姻”	(记者宋 勇 通讯员温正华)近日,玉柴与华中科技大学签署战略合作协议,玉柴股份公司董事长晏平、华中科技大学校长李培根等领导见证了战略合作协议的签署。此举是为了提升玉柴的铸造和内燃机性能开发水平,建立企业与高校的人才培养基地。  玉柴是中国最大的内燃机生产基地,近年来,以年均超过30%以上的速度高速发展。...
华中科技大学	工程机械早9点:江西唱凯堤决口成功合龙	详细&gt;&gt;玉柴与华中科技大学签署战略合作协议摘要:为了提升玉柴的铸造和内燃机性能开发水平,建立企业与高校的人才培养基地,6月25日,玉柴与华中科技大学签署战略合作协议,玉柴股份公司总经理李天生、华中科技大学副校长杨勇分别在战略合作框架协议书上签字。...
华中科技大学	玉柴与华中科技大学签署战略合作协议	为了提升玉柴的铸造和内燃机性能开发水平,建立企业与高校的人才培养基地,6月25日,玉柴与华中科技大学签署战略合作协议,玉柴股份公司总经理李天生、华中科技大学副校长杨勇分别在战略合作框架协议书上签字。玉柴股份公司董事长晏平、华中科技大学校长李培根等领导见证了战略合作协议的签署。...
华中科技大学	湖北 把创新写在发展的旗帜上	公司采用机动灵活的用人机制,建立多样化研发平台,不仅成立了湖北能一郎新能源研究院,还聘请电动汽车动力电池专家雷如清任院长,并计划在清华大学、天津大学、华中科技大学等高校成立分院,华中科技大学等高校还在公司设立了博士后流动站。...
华中科技大学	湖北 把创新写在发展的旗帜上	公司采用机动灵活的用人机制,建立多样化研发平台,不仅成立了湖北能一郎新能源研究院,还聘请电动汽车动力电池专家雷如清任院长,并计划在清华大学、天津大学、华中科技大学等高校成立分院,华中科技大学等高校还在公司设立了博士后流动站。人才集聚带来科研攻关“单刀直入”,...
华中科技大学	玉柴与华中科技大学签署战略合作协议	为了提升玉柴的铸造和内燃机性能开发水平,建立企业与高校的人才培养基地,2010年6月25日,玉柴与华中科技大学签署战略合作协议,玉柴股份公司总经理李天生、华中科技大学副校长杨勇分别在战略合作框架协议书上签字。玉柴股份公司董事长晏平、华中科技大学校长李培根等领导见证了战略合作协议的签署。...
华中科技大学	湖北省武汉市洪山区关山文园路58号	教育部直属高校  武汉·中国光谷中心矗立起的独立学院 华中科技大学文华学院简介 学院国标代码:13262 湖北 招生代码:1237 关键词:普通高校 华中科技大学文华学院是国家教育部批准设立的本科层次的全日制普通高等学校,由华中科技大学与武汉美联地产有限公司共同... &gt;&gt;更多

------------->第8类：其他类<-------------
华中科技大学	华中科技大学武昌分校	经教育部于2000年批准成立的本科层次的全日制普通高等学校,是中国现代教育发展体系中按照新机制、新模式运行的创新型大学。
华中科技大学	华中科技大学材料科学与工程学院	包括材院介绍、教学管理、材院管理、师生信息等内容。
华中科技大学	华中科技大学机械科学与工程学院	具有独特的学科优势和办学风格,汇聚了一大批在国内外机械制造领域享有盛誉的优秀人才。
华中科技大学	首页_华中科技大学物理学院	提供院系介绍、人才培养、师资队伍等。
华中科技大学	华中科技大学:第364期:第01版:要闻	欢迎访问华中科技大学华中科技大学电子版,您在这里将能够浏览到华中科技大学最新发布的华中科技大学.
华中科技大学	华中科技大学党委统战部	含统战动态,统战组织,统战简讯,统战知识等内容。
华中科技大学	华中科技大学 教务处	含成绩和证书查询,学务咨询等。
华中科技大学	华中科技大学教育科学研究院	提供机构设置、师资力量、学科建设等。
华中科技大学	华中科技大学图书馆	馆藏文献320万册(件),涵盖了理工文管医等9大学科门类。
华中科技大学	华中科技大学地图，华中科技大学电子地图	华中科技大学地图,华中科技大学电子地图方便师生查找校园地点，迅速定位
华中科技大学	：：华中科技大学附属中学：：	含学校概况,附中新闻,教学科研等内容。
华中科技大学	华中科技大学东莞研究院 | 华科教育、在职研究生、在职本专科、东...	立足东莞,服务于经济建设,依托学校组织项目研发,推动成果转化,发展高新技术产业,加快人才培养。
华中科技大学	华中科技大学出版社建筑分社、建筑图书、建筑设计图书	建筑类图书│建筑执考│教材及教铺书│图集类书│手绘表现│建筑设计│建筑文化│景观规划│为读者出好书是我们的任务，为读者提供好的服务是我们的义务
华中科技大学	华中科技大学能源与动力工程学院	介绍该院概况、机构设置、科研成果等。
华中科技大学	华中科技大学科技园-华中科技大学-科技园-售楼	位于武汉东湖高新开发区,从事科技园的开发建设、招商等工作,提供物业管理等相关工作。
华中科技大学	华中科技大学社会学系	提供系所概况、教学科研、学术专栏、学生工作等介绍。
华中科技大学	北京大学 华中科技大学携手挺进4强	紧接着,18:00,世博辩论赛8进4第二场的比赛也在华南理工大学和华中科技大学之间展开。围绕着“‘城市,让生活更美好’主要依靠城市硬件还是城市软件”这个话题双方辩手展开激烈辩论。最终,反方华中科技大学取得了比赛的胜利,顺利进军4强。华中科技大学二辩王卓然也凭借出色的表现获得了最佳辩手的称号。
华中科技大学	华中科技大学过关斩将 获得8强席位	顺利打响。代表台湾地区参赛的台湾大学代表队和在武汉赛区中力压群雄的华中科技大学辩论队为了争夺进军全国 强的入场券,在大家的期待中展开了对决。  辩论赛中,双方就“ 大量流动有利于城市 城市发展”的辩题展开了激烈辩论。双方就这个问题深入浅出、旁征博引的进行着论述,场面十分火热,精彩不断。
华中科技大学	华中科技大学学生情侣校内高调“订婚”	昨日(16日)9时,6辆东风风神婚车从该校韵苑25栋开到“新娘”所住的20栋楼下。在大家的欢呼下,“新郎”走下婚车去“接亲”。宿管阿姨跟嫁女儿一样,站在门口狠堵“新郎”,直到拿到红包后,才特许“新郎”进去。 2010-06-19 【 】【 】
华中科技大学	华中科技大学2010年成考江西招生专业	序号 专业代码 专业名称 科类 层次 学习形式 学制 计划数 备注 136101 建筑学 专升本 理工类 函授 70 南昌市红谷中大道1375号江西建设职业技术学 136102 土木工程 专升本 理工类 函授 70 南昌市红谷中大道1375号江西建设职业技术学
华中科技大学	华中科技大学2011年硕士研究生招生简章目录	http://kaoyan.eol.cn 中国教育在线考研频道 2010-08-24
华中科技大学	华中科技大学2011年硕士研究生招生简章目录	解释函数[link(down,1,8,·,yy-MM-dd HH:mm,none,[font size=&quot;-2&quot; color=&quot;#999999&quot;])]时出现错误:[Io exception: Bad packet type]!
华中科技大学	华中科技大学2010年各省录取分数线	省份 理工类 文史类 计划数 重点线 录取分数线 计划数 重点线 录取分数线 620 605 603 596 618 628 635 608 635 606 625 610 2035 607 共建生 616 621 655 595 620 624 735 616 596 455/282 469/301 627

